RANK,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,REB,AST,STL,BLK
533,Emanuel Miller,CHI,6,25,10,4,8,50,0,1,0,2,2,8,2,1,0
534,Jalen Bridges,PHX,8,30,9,2,7,28.6,2,7,28.6,3,4,4,0,0,0
534,Liam Robbins,MIL,13,57,9,2,8,25,0,2,0,5,10,12,2,2,2
534,P.J. Tucker,NYK,3,58,9,3,7,42.9,3,6,50,0,0,8,0,1,1
537,Adama Sanogo,CHI,4,22,8,4,7,57.1,0,0,0,0,0,6,1,0,0
537,Anton Watson,NYK,9,22,8,4,9,44.4,0,1,0,0,0,3,2,1,0
537,James Johnson,IND,12,37,8,4,11,36.4,0,3,0,0,1,6,4,0,2
537,Phillip Wheeler,PHI,5,44,8,3,21,14.3,0,10,0,2,2,8,2,1,2
541,Daniss Jenkins,DET,7,23,7,3,10,30,1,7,14.3,0,2,2,3,0,0
541,Miles Norris,BOS,3,35,7,2,9,22.2,2,7,28.6,1,2,9,0,2,1
541,PJ Dozier,MIN,9,35,7,2,3,66.7,2,3,66.7,1,6,5,5,1,0
544,Isaiah Mobley,PHI,1,17,6,2,7,28.6,1,3,33.3,1,2,4,5,1,1
544,James Wiseman,IND,1,5,6,2,4,50,0,1,0,2,2,1,0,0,0
544,Kevin McCullar Jr.,NYK,4,29,6,2,7,28.6,0,1,0,2,2,8,2,1,1
544,Taze Moore,POR,2,20,6,2,10,20,1,4,25,1,2,8,1,2,0
548,Alondes Williams,LAC,1,4,5,2,2,100,1,1,100,0,0,0,1,0,0
548,Skal Labissiere,SAC,4,12,5,2,4,50,1,1,100,0,0,3,1,0,0
548,Ulrich Chomche,TOR,7,32,5,2,5,40,0,0,0,1,2,8,2,0,1
551,Harrison Ingram,SAS,5,35,4,2,4,50,0,1,0,0,0,9,3,3,0
551,Ron Harper Jr.,DET,1,17,4,1,8,12.5,0,6,0,2,2,7,2,0,0
553,Braxton Key,GSW,3,11,3,0,4,0,0,1,0,3,6,2,0,2,0
553,Cui Cui,BKN,5,10,3,1,7,14.3,0,3,0,1,2,2,0,0,0
